price,rooms,bathrooms,squarefootage,province,amountamenities
44200.0,2.0,2.0,95.0,Santiago,26.0
1657500.0,3.0,0.0,110.0,Santiago,2.0
1657500.0,3.0,2.0,130.0,Santiago,5.0
38675.0,2.0,0.0,119.0,Santiago,19.0
828750.0,3.0,2.0,75.0,Santiago,1.0
1933750.0,2.0,1.0,99.0,Santiago,9.0
1105000.0,3.0,2.0,100.0,Santiago,6.0
2320500.0,3.0,1.0,145.0,Santiago,18.0
497250.0,1.0,1.0,65.0,Santiago,8.0
49725.0,3.0,2.0,90.0,Santiago,16.0
55250.0,3.0,1.0,178.0,Santiago,11.0
82875.0,3.0,1.0,175.0,Santiago,26.0
1712750.0,3.0,1.0,118.0,Santiago,35.0
1547000.0,3.0,2.0,105.0,Santiago,17.0
1547000.0,2.0,1.0,100.0,Santiago,2.0